time,latitude,longitude,depth,magnitude,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-10-09T19:54:34.660Z,36.9081667,-122.2165,5.09,2.53,md,84,199,0.1476,0.14,nc,nc73637560,2021-10-10T16:19:47.010Z,"16km SSW of Bonny Doon, CA",earthquake,0.31,0.84,0.168,81,reviewed,nc,nc
2021-10-09T18:55:10.070Z,19.1333,-66.0043,12,3.24,md,10,276,0.8281,0.39,pr,pr2021282007,2021-10-09T19:33:22.632Z,"74 km N of San Juan, Puerto Rico",earthquake,5.07,6.97,0.05,6,reviewed,pr,pr
2021-10-09T17:55:34.258Z,-15.6589,-71.8162,10,4.6,mb,,136,2.949,0.87,us,us6000ftcj,2021-10-09T18:26:04.040Z,"5 km WSW of Maca, Peru",earthquake,10.2,1.9,0.095,33,reviewed,us,us
2021-10-09T15:46:49.004Z,51.6781,178.4092,102.54,4,mb,,209,0.295,0.92,us,us6000ftbx,2021-10-09T16:30:23.040Z,"",earthquake,12.5,7.9,0.069,56,reviewed,us,us
2021-10-09T15:45:16.407Z,-17.8716,-178.1299,633.88,4.4,mb,,133,3.543,0.64,us,us6000ftc7,2021-10-09T17:27:31.040Z,"271 km E of Levuka, Fiji",earthquake,13.1,9.4,0.077,49,reviewed,us,us
2021-10-09T15:25:45.415Z,43.5146,-128.2474,10,3.5,mb,,271,3.057,0.56,us,us6000ftbl,2021-10-09T23:53:50.253Z,"off the coast of Oregon",earthquake,12.4,2,0.35,2,reviewed,us,us
2021-10-09T14:31:20.641Z,-15.6781,-72.1257,10,4.5,mb,,171,3.169,1.33,us,us6000ftbc,2021-10-09T16:24:48.040Z,"6 km NNW of Huambo, Peru",earthquake,5.2,1.9,0.156,12,reviewed,us,us
2021-10-09T13:29:45.423Z,44.2978,-115.0655,10,2.6,ml,,65,0.741,0.44,us,us6000ftaw,2021-10-10T00:43:42.365Z,"13 km NW of Stanley, Idaho",earthquake,2.1,2,0.049,54,reviewed,us,us
2021-10-09T13:23:09.463Z,-14.9532,-73.4454,10,4.3,mb,,207,4.623,1.02,us,us6000ftau,2021-10-09T13:55:54.128Z,"7 km SW of Upahuacho, Peru",earthquake,6.7,2,0.217,6,reviewed,us,us
2021-10-09T13:12:06.798Z,61.5508,-149.8716,30.5,2.7,ml,,,,0.56,ak,ak021cyld38e,2021-10-09T16:05:20.040Z,"5 km NE of Big Lake, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-10-09T13:09:05.698Z,-4.0669,134.0372,10,4.7,mb,,122,2.118,1.05,us,us6000ftat,2021-10-09T13:43:47.040Z,"180 km WSW of Nabire, Indonesia",earthquake,8,1.9,0.158,12,reviewed,us,us
2021-10-09T11:34:35.420Z,44.2838333,-115.1845,10.3,2.65,ml,14,83,0.828,0.25,mb,mb80526549,2021-10-09T14:35:44.210Z,"20 km WNW of Stanley, Idaho",earthquake,0.98,1.54,0.209,13,reviewed,mb,mb
2021-10-09T10:58:30.852Z,-21.1717,174.5286,520.42,6.9,mww,,31,4.761,0.6,us,us6000ft9g,2021-10-10T09:33:53.327Z,"Vanuatu region",earthquake,5.3,3.8,0.05,38,reviewed,us,us
2021-10-09T10:39:14.075Z,-4.4957,153.4247,63.15,5.1,mb,,40,1.293,0.96,us,us6000ft9c,2021-10-09T12:00:48.926Z,"129 km E of Kokopo, Papua New Guinea",earthquake,9.1,5.3,0.05,129,reviewed,us,us
2021-10-09T09:38:55.990Z,17.8988,-66.7963,6,2.7,md,14,231,0.1127,0.13,pr,pr2021282003,2021-10-09T09:59:04.689Z,"10 km SSE of Indios, Puerto Rico",earthquake,0.55,0.29,0.45,6,reviewed,pr,pr
2021-10-09T09:33:12.911Z,15.7385,-92.2117,191.74,4.6,mb,,123,0.545,0.6,us,us6000ft8y,2021-10-10T07:59:41.145Z,"2 km SSW of Nueva Libertad, Mexico",earthquake,8.2,6,0.044,154,reviewed,us,us
2021-10-09T09:00:38.226Z,44.3072,-115.0431,10,2.9,ml,,64,0.872,0.6,us,us6000ft8s,2021-10-09T09:17:32.040Z,"13 km NW of Stanley, Idaho",earthquake,2.1,2,0.046,62,reviewed,us,us
2021-10-09T07:19:27.745Z,50.0361,149.8258,447.74,5.6,mww,,49,5.615,0.82,us,us6000ft86,2021-10-10T07:23:08.143Z,"Sea of Okhotsk",earthquake,8.5,5.9,0.068,21,reviewed,us,us
2021-10-09T07:19:03.534Z,44.3203,-115.1348,10,2.8,ml,,42,0.919,0.49,us,us6000ft83,2021-10-09T12:24:26.040Z,"19 km NW of Stanley, Idaho",earthquake,2.1,2,0.042,76,reviewed,us,us
2021-10-09T07:16:15.464Z,44.3553,-115.1289,4.17,2.5,ml,,33,0.945,0.4,us,us6000ft81,2021-10-09T12:17:20.040Z,"21 km NW of Stanley, Idaho",earthquake,5.6,3.3,0.043,70,reviewed,us,us
2021-10-09T07:15:13.322Z,-21.784,-68.851,105.01,4.3,mb,,43,0.878,0.68,us,us6000ft80,2021-10-09T12:14:05.040Z,"74 km N of Calama, Chile",earthquake,6.6,6.5,0.148,13,reviewed,us,us
2021-10-09T06:54:12.422Z,63.3749,158.3473,10,4.8,mb,,104,5.263,0.62,us,us6000ft7x,2021-10-09T07:12:04.040Z,"161 km NE of Omsukchan, Russia",earthquake,8.6,1.9,0.077,52,reviewed,us,us
2021-10-09T06:38:32.935Z,44.3206,-115.0841,10,3.1,ml,,64,0.899,0.39,us,us6000ft7t,2021-10-10T09:57:36.469Z,"16 km NW of Stanley, Idaho",earthquake,3.3,2,0.04,83,reviewed,us,us
2021-10-09T06:23:50.436Z,44.3275,-115.0504,10,2.5,ml,,63,0.892,0.66,us,us6000ft7r,2021-10-09T12:07:50.040Z,"15 km NW of Stanley, Idaho",earthquake,3.1,2,0.046,62,reviewed,us,us
2021-10-09T06:05:32.139Z,32.38,49.7538,10,4.8,mb,,45,4.329,0.65,us,us6000ft7j,2021-10-09T06:21:31.040Z,"64 km NE of Masjed Soleym?n, Iran",earthquake,7.6,1.9,0.076,53,reviewed,us,us
2021-10-09T06:01:48.478Z,44.3414,-115.1235,10,2.6,ml,,63,0.932,0.61,us,us6000ft7c,2021-10-09T06:36:21.040Z,"20 km NW of Stanley, Idaho",earthquake,2.1,2,0.041,79,reviewed,us,us
2021-10-09T05:59:49.810Z,53.2284,-166.7582,42.08,4.4,mb,,168,0.571,0.92,us,us6000ft7h,2021-10-09T18:49:11.300Z,"73 km SSW of Unalaska, Alaska",earthquake,9.7,12.4,0.103,27,reviewed,us,us
2021-10-09T05:50:11.841Z,-15.5823,-71.6865,10,4.7,mb,,140,2.908,0.85,us,us6000ft78,2021-10-09T06:09:54.040Z,"7 km N of Ichupampa, Peru",earthquake,9.7,1.9,0.083,44,reviewed,us,us
2021-10-09T05:36:57.197Z,30.3562,94.827,34.55,4.9,mb,,111,5.446,0.48,us,us6000ft7k,2021-10-09T06:17:12.040Z,"207 km NNE of Shi Yomi, India",earthquake,12.3,5.9,0.091,38,reviewed,us,us
2021-10-09T05:32:00.520Z,40.0948,142.1566,61.6,5,mb,,72,1.084,0.66,us,us6000ft6w,2021-10-09T12:32:00.101Z,"53 km NNE of Miyako, Japan",earthquake,7.3,6.7,0.046,150,reviewed,us,us
